NAMESPACE       LAST SEEN   TYPE      REASON                 OBJECT                                                                                   MESSAGE
kubescape       6m7s        Warning   FailedScheduling       pod/kubescape-exporter-29595390-8z6nw                                                    0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
kubescape       6m7s        Warning   FailedScheduling       pod/kubescape-exporter-29595065-wvnj9                                                    0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
trivy-system    22m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-f8bcff7cd-vqtxj                                             skip schedule deleting pod: trivy-system/scan-vulnerabilityreport-f8bcff7cd-vqtxj
trivy-system    26m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-f8bcff7cd-vqtxj                                             0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
trivy-system    32m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-f8bcff7cd-vqtxj                                             0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
trivy-system    12m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-d778d5cc4-277zj                                             skip schedule deleting pod: trivy-system/scan-vulnerabilityreport-d778d5cc4-277zj
trivy-system    16m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-d778d5cc4-277zj                                             0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
free5gc         6m5s        Warning   FailedScheduling       pod/free5gc-free5gc-nssf-nssf-5c6c8779bf-zqhhd                                           0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
free5gc         6m5s        Warning   FailedScheduling       pod/free5gc-free5gc-udm-udm-7d8c49654f-dfrrm                                             0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
trivy-system    22m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-d778d5cc4-277zj                                             0/3 nodes are available: 1 Insufficient cpu, 1 node(s) had untolerated taint {node-role.kubernetes.io/control-plane: }, 1 node(s) had untolerated taint {node.kubernetes.io/unreachable: }. preemption: 0/3 nodes are available: 1 No preemption victims found for incoming pod, 2 Preemption is not helpful for scheduling..
trivy-system    52m         Warning   FailedScheduling       pod/scan-vulnerabilityreport-c7b79b858-5cqj8                                             skip schedule deleting pod: trivy-system/scan-vulnerabilityreport-c7b79b858-5cqj8
