=== KUBESCAPE PODS ===
NAME                                 READY   STATUS             RESTARTS          AGE
host-scanner-5ndpd                   1/1     Running            10 (7m16s ago)    15h
host-scanner-kg2q4                   1/1     Running            1 (19m ago)       15h
kubescape-6dd6dc9496-bzwsm           1/1     Running            6 (42h ago)       115d
kubescape-exporter-29490630-6hd2p    0/1     Error              0                 73d
kubescape-exporter-29490630-7wlch    0/1     Error              0                 73d
kubescape-exporter-29490630-cmpjs    0/1     Error              0                 73d
kubescape-exporter-29490630-fwp94    0/1     Error              0                 73d
kubescape-exporter-29490630-lqz9d    0/1     Error              0                 73d
kubescape-exporter-29594035-7hbxc    0/1     Completed          0                 29h
kubescape-exporter-29594040-pj4sz    0/1     Terminating        0                 29h
kubescape-exporter-29594040-q4ctc    0/1     Pending            0                 29h
kubescape-exporter-29594045-bd2jc    0/1     Error              0                 29h
kubescape-exporter-29594045-dfzjq    0/1     Error              0                 29h
kubescape-exporter-29594045-ghnxs    0/1     Error              0                 29h
kubescape-exporter-29594045-nqxb6    0/1     Error              0                 29h
kubescape-exporter-29594045-t5fnv    0/1     Error              0                 29h
kubescape-exporter-29594045-xtjts    0/1     Pending            0                 29h
kubescape-exporter-29594050-8qmkn    0/1     Pending            0                 29h
kubescape-exporter-29594055-4s6jf    0/1     Pending            0                 28h
kubescape-exporter-29594060-b4gg9    0/1     Pending            0                 28h
kubescape-exporter-29594065-sc6nv    0/1     Pending            0                 28h
kubescape-exporter-29594070-2gmqn    0/1     Pending            0                 28h
kubescape-exporter-29594075-dwg5x    0/1     Pending            0                 28h
kubescape-exporter-29594080-w78br    0/1     Pending            0                 28h
kubescape-exporter-29594085-nxj9b    0/1     Pending            0                 28h
kubescape-exporter-29594090-bk9xh    0/1     Pending            0                 28h
kubescape-exporter-29594095-fznzb    0/1     Pending            0                 28h
kubescape-exporter-29594100-r6dw6    0/1     Pending            0                 28h
kubescape-exporter-29594105-fxr8n    0/1     Pending            0                 28h
kubescape-exporter-29594110-lth22    0/1     Pending            0                 28h
kubescape-exporter-29594115-2n8jq    0/1     Pending            0                 27h
kubescape-exporter-29594120-kpskt    0/1     Pending            0                 27h
kubescape-exporter-29594125-ssnch    0/1     Pending            0                 27h
kubescape-exporter-29594130-kqz8z    0/1     Pending            0                 27h
kubescape-exporter-29594135-rdsbp    0/1     Pending            0                 27h
kubescape-exporter-29594140-6fn7x    0/1     Pending            0                 27h
kubescape-exporter-29594145-x788r    0/1     Pending            0                 27h
kubescape-exporter-29594150-q2nhz    0/1     Pending            0                 27h
kubescape-exporter-29594155-cfvxq    0/1     Pending            0                 27h
kubescape-exporter-29594160-h846t    0/1     Pending            0                 27h
kubescape-exporter-29594165-tjk7m    0/1     Pending            0                 27h
kubescape-exporter-29594170-9d8vb    0/1     Pending            0                 27h
kubescape-exporter-29594175-c278l    0/1     Pending            0                 26h
kubescape-exporter-29594180-rj6m4    0/1     Pending            0                 26h
kubescape-exporter-29594185-m54ld    0/1     Pending            0                 26h
kubescape-exporter-29594190-7w9f5    0/1     Pending            0                 26h
kubescape-exporter-29594195-bw46p    0/1     Pending            0                 26h
kubescape-exporter-29594200-nfll6    0/1     Pending            0                 26h
kubescape-exporter-29594205-jh9m7    0/1     Pending            0                 26h
kubescape-exporter-29594210-knnmb    0/1     Pending            0                 26h
kubescape-exporter-29594215-kbcxr    0/1     Pending            0                 26h
kubescape-exporter-29594220-8mk2w    0/1     Pending            0                 26h
kubescape-exporter-29594225-w8wgp    0/1     Pending            0                 26h
kubescape-exporter-29594230-wcw2x    0/1     Pending            0                 26h
kubescape-exporter-29594235-tncvs    0/1     Pending            0                 25h
kubescape-exporter-29594240-25bf7    0/1     Pending            0                 25h
kubescape-exporter-29594245-rhkls    0/1     Pending            0                 25h
kubescape-exporter-29594250-p5k5d    0/1     Pending            0                 25h
kubescape-exporter-29594255-b6b27    0/1     Pending            0                 25h
kubescape-exporter-29594260-wjkj4    0/1     Pending            0                 25h
kubescape-exporter-29594265-ljf2l    0/1     Pending            0                 25h
kubescape-exporter-29594270-ngv26    0/1     Pending            0                 25h
kubescape-exporter-29594275-d928c    0/1     Pending            0                 25h
kubescape-exporter-29594280-qn4hk    0/1     Pending            0                 25h
kubescape-exporter-29594285-hcqcm    0/1     Pending            0                 25h
kubescape-exporter-29594290-fm4wq    0/1     Pending            0                 25h
kubescape-exporter-29594295-lnxrn    0/1     Pending            0                 24h
kubescape-exporter-29594300-856f5    0/1     Pending            0                 24h
kubescape-exporter-29594305-p46mz    0/1     Pending            0                 24h
kubescape-exporter-29594310-cz8s8    0/1     Pending            0                 24h
kubescape-exporter-29594315-pxr6d    0/1     Pending            0                 24h
kubescape-exporter-29594320-xgq72    0/1     Pending            0                 24h
kubescape-exporter-29594325-cv8cg    0/1     Pending            0                 24h
kubescape-exporter-29594330-p7gj9    0/1     Pending            0                 24h
