attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.8084,0.9544,0.9741,0.388,0.003999471664428711,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.004999399185180664,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Portable_Execution', 'Agent_based_MPB', 'Launch_Agent']",0.5487,0.9872,0.4123,0.9145,0.003999948501586914,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Portable_Execution']",0.8139,0.9927,0.6113,0.9145,0.0039958953857421875,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.00397038459777832,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Portable_Execution', 'Agent_based_MPB', 'Launch_Agent', 'goal_node']",0.5487,0.9858,0.0305,0.9053,0.003999471664428711,1
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9686,0.9872,0.9741,0.9145,0.003999471664428711,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.003999948501586914,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.971,0.9927,0.9741,0.9145,0.004000425338745117,0
1,Stage 1,['Logon_PB'],0.984,0.996,0.9857,0.9528,0.004002094268798828,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Portable_Execution']",0.8139,0.9927,0.6113,0.9145,0.0040318965911865234,0
3,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF']",0.9592,0.9544,0.9741,0.9413,0.003969669342041016,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Deploy_malware', 'Portable_Execution']",0.7596,0.9891,0.6113,0.4873,0.00400090217590332,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.003995656967163086,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation']",0.8181,0.9912,0.9741,0.2971,0.003997802734375,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.003999233245849609,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9813,0.9953,0.9833,0.9448,0.003997802734375,0
3,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8181,0.9786,0.9288,0.033,0.003999948501586914,2
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_NEF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.003996133804321289,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware', 'Query_SMF', 'Connect_NRF', 'Connect_NEF']",0.9096,0.9738,0.9741,0.5876,0.0040013790130615234,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Deploy_malware', 'Config_PB']",0.867,0.9899,0.9741,0.2971,0.003973484039306641,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9686,0.9872,0.9741,0.9145,0.0030002593994140625,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Deploy_malware', 'Config_PB']",0.8678,0.9917,0.9741,0.2971,0.003998994827270508,0
1,Stage 1,['Logon_PB'],0.984,0.996,0.9857,0.9528,0.005000114440917969,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9711,0.9824,0.9741,0.9413,0.0039997100830078125,0
1,Stage 1,['Logon_PB'],0.984,0.996,0.9857,0.9528,0.005002498626708984,0
4,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'Connect_NRF']",0.8158,0.9824,0.9741,0.388,0.0030002593994140625,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.003997802734375,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.0029981136322021484,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.004000425338745117,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9813,0.9953,0.9833,0.9448,0.003998994827270508,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.004001617431640625,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.0039997100830078125,0
4,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Portable_Execution', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'Connect_NRF']",0.6982,0.9824,0.6113,0.388,0.0039997100830078125,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.971,0.9927,0.9741,0.9145,0.004000425338745117,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Portable_Execution', 'Agent_based_MPB']",0.7276,0.9927,0.4123,0.9145,0.004000425338745117,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.003999948501586914,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9686,0.9872,0.9741,0.9145,0.004002809524536133,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.003000020980834961,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.003999948501586914,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Create_GTP', 'Connect_UE']",0.9592,0.9544,0.9741,0.9413,0.004000186920166016,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.98,0.995,0.9821,0.9409,0.0040013790130615234,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Portable_Execution', 'Agent_based_MPB', 'Launch_Agent', 'goal_node']",0.5487,0.9858,0.0305,0.9053,0.0029997825622558594,3
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.971,0.9927,0.9741,0.9145,0.004000425338745117,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Portable_Execution']",0.8122,0.9872,0.6113,0.9145,0.0030002593994140625,0
4,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8181,0.9786,0.9288,0.0387,0.003670215606689453,4
3,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9711,0.9824,0.9741,0.9413,0.004000425338745117,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Deploy_malware', 'Config_PB', 'Token_Impersonation']",0.8181,0.9912,0.9741,0.2971,0.003999471664428711,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Deploy_malware']",0.8996,0.992,0.9741,0.4873,0.003998994827270508,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Deploy_malware', 'Config_PB', 'Token_Impersonation', 'goal_node']",0.8181,0.9786,0.9288,0.033,0.003998994827270508,5
1,Stage 1,['Logon_PB'],0.984,0.996,0.9857,0.9528,0.004000186920166016,0
2,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF']",0.9686,0.9872,0.9741,0.9145,0.003999471664428711,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9813,0.9953,0.9833,0.9448,0.003999233245849609,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF']",0.9592,0.9544,0.9741,0.9413,0.003999948501586914,0
1,Stage 1,['Remote_access_PB'],0.984,0.996,0.9857,0.9527,0.004000425338745117,0
