attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004999876022338867,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.004000663757324219,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.003999233245849609,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9726,0.9845,0.9738,0.9431,0.005000591278076172,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.00500035285949707,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004001140594482422,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.003999471664428711,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000663757324219,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.00400090217590332,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004998445510864258,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.004001140594482422,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.004999637603759766,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.005997657775878906,0
3,Stage 3,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_PCF']",0.9694,0.977,0.9738,0.9431,0.005999326705932617,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.004999637603759766,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003998279571533203,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.003999471664428711,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.003999948501586914,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.003998279571533203,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003999948501586914,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.0040013790130615234,0
2,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.003998279571533203,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.005002021789550781,0
3,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF']",0.9726,0.9845,0.9738,0.9431,0.004000425338745117,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.0040018558502197266,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.004992008209228516,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.00400090217590332,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.004998922348022461,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.004000186920166016,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004803657531738281,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.003999948501586914,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004990816116333008,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004000186920166016,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Portable_Execution']",0.8166,0.9936,0.6058,0.9171,0.0039942264556884766,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000186920166016,0
2,Stage 1,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.003999471664428711,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.0039997100830078125,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.005000114440917969,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003999948501586914,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.004000425338745117,0
3,Stage 2,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.003999948501586914,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000186920166016,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.00499272346496582,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.003999948501586914,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.003999948501586914,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.0039997100830078125,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000186920166016,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.003999948501586914,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.006004810333251953,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000186920166016,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004001140594482422,0
2,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.003997802734375,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003998517990112305,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004994630813598633,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.004001140594482422,0
2,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.004986286163330078,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003998756408691406,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.004983663558959961,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.005000591278076172,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.003998517990112305,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.0039997100830078125,0
2,Stage 1,"['Logon_PB', 'Bypass_Authentication', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.0039975643157958984,0
4,Stage 3,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server', 'Portable_Execution', 'Agent_based_MPB', 'Launch_Agent', 'goal_node']",0.5604,0.9927,0.0256,0.9058,0.002998828887939453,1
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.003998517990112305,0
2,Stage 2,"['Input_Credentials', 'Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.0029985904693603516,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004001617431640625,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.0039997100830078125,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004001140594482422,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.004026174545288086,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003973245620727539,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB']",0.9814,0.9957,0.9824,0.9445,0.004001140594482422,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000425338745117,0
4,Stage 3,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF', 'Connect_NRF', 'Connect_SMF', 'Connect_UPF', 'Connect_C2']",0.8194,0.6234,0.9738,0.9431,0.0039997100830078125,0
1,Stage 1,"['Logon_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000425338745117,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.004002094268798828,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.0039997100830078125,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB', 'Access_Server']",0.9722,0.9936,0.9738,0.9171,0.003999948501586914,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000186920166016,0
1,Stage 1,['Input_Credentials'],0.9845,0.9964,0.9853,0.9537,0.003999948501586914,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.004999399185180664,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.0039997100830078125,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.005002260208129883,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.004000186920166016,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.003999233245849609,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.0039997100830078125,0
3,Stage 2,"['Logon_PB', 'Bypass_Authentication', 'Access_Server', 'Portable_Execution', 'Agent_based_MPB']",0.7335,0.9936,0.4094,0.9171,0.0050013065338134766,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.004999876022338867,0
2,Stage 1,"['Input_Credentials', 'Authentication', 'SystemUseNotPB']",0.9814,0.9957,0.9824,0.9445,0.003999948501586914,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.004000186920166016,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.004000425338745117,0
1,Stage 1,['Remote_access_PB'],0.9849,0.9965,0.9857,0.9549,0.004000186920166016,0
1,Stage 1,"['Input_Credentials', 'Authentication']",0.9826,0.996,0.9836,0.9481,0.0039997100830078125,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.003999948501586914,0
1,Stage 1,"['Remote_access_PB', 'Bypass_Authentication']",0.9804,0.9954,0.9815,0.9414,0.003999948501586914,0
1,Stage 1,['Logon_PB'],0.9849,0.9965,0.9857,0.9548,0.004000425338745117,0
2,Stage 2,"['Remote_access_PB', 'Bypass_Authentication', 'Access_Server', 'Query_SMF']",0.9701,0.9887,0.9738,0.9171,0.0039997100830078125,0
