stage_name,no_of_node,Net size,Posture value,Build time,Prediction time
access_stage_user,23.0,48.0,0.95,0.39084973335266116,0.0030000686645507814
1. access_stage_network,23.0,48.0,0.95,0.40461015701293945,0.0030009269714355467
1. access_stage_network,23.0,48.0,0.95,0.3289367198944092,0.003200387954711914
1. access_stage_all,23.0,48.0,0.95,0.3721930980682373,0.003200817108154297
1. access_stage_all,23.0,48.0,0.95,0.3901975154876709,0.002805280685424805
2. collect_all,23.0,48.0,0.95,0.34403390884399415,0.003069353103637695
3. exfiltrate_all,23.0,48.0,0.19400000000000003,0.36149797439575193,0.0027996063232421874
3. exfiltrate_all,20.0,42.0,0.194,0.38939547538757324,0.0028020858764648436
1. access_all,23.0,48.0,0.95,0.3683945655822754,0.0031992912292480467
1. access_1,24.0,50.0,0.95,0.1373599052429199,0.0031998157501220703
1. access_2,24.0,50.0,0.952,0.11138882637023925,0.003000020980834961
1. access_2,24.0,50.0,0.9513999999999999,0.11259427070617675,0.0029995918273925783
1. access_3,24.0,50.0,0.9542000000000002,0.1105811595916748,0.0030004501342773436
1. access_1,24.0,50.0,0.95272,0.1125859260559082,0.002999401092529297
1. access_3,24.0,50.0,0.95367,0.11349332332611084,0.00300295352935791
1. access_1,24.0,50.0,0.8763400000000001,0.11079978942871094,0.003999233245849609
1. access_2,24.0,50.0,0.87888,0.13418779373168946,0.003998565673828125
1. access_3,24.0,50.0,0.87612,0.1143876552581787,0.004002904891967774
all_breach,24.0,50.0,0.20016000000000003,0.11351840496063233,0.0035007953643798827
all_but_user_aspects,24.0,50.0,0.20471000000000003,0.1109882116317749,0.0031998872756958006
all_but_net_aspects,24.0,50.0,0.9535100000000002,0.11178414821624756,0.0031998157501220703
no_breach,24.0,50.0,0.95283,0.12478849887847901,0.0033992767333984376
default,24.0,50.0,0.8752800000000001,0.12919106483459472,0.004199886322021484
6,24.0,50.0,0.8790800000000001,0.11140003204345703,0.004199838638305664
11,24.0,50.0,0.8777799999999999,0.11160101890563964,0.004400014877319336
16,24.0,50.0,0.87842,0.1126408576965332,0.004206037521362305
21,24.0,50.0,0.87706,0.13958706855773925,0.0043999671936035155
26,24.0,50.0,0.8775999999999999,0.11278214454650878,0.0048005104064941405
31,24.0,50.0,0.88006,0.11399288177490234,0.004199838638305664
36,24.0,50.0,0.8772800000000001,0.1123884677886963,0.004199790954589844
41,24.0,50.0,0.87866,0.1463921070098877,0.004200458526611328
46,24.0,50.0,0.8784599999999999,0.12320075035095215,0.0041999340057373045
51,24.0,50.0,0.8775599999999999,0.1657961368560791,0.0044005393981933595
goal_node_stage1_user,25.0,54.0,0.95482,0.1383345603942871,0.0031252384185791017
goal_node_stage1_network,25.0,54.0,0.9554600000000001,0.12550344467163085,0.0031244754791259766
goal_node_stage1_all,25.0,54.0,0.9563,0.159201717376709,0.0008146286010742188
goal_node_stage_2_net,25.0,54.0,0.95588,0.1552267074584961,0.0037357330322265623
goal_node_stage_2_net,25.0,54.0,0.9552800000000001,0.15726323127746583,0.003125
goal_node_stage_2_net,25.0,54.0,0.19735999999999998,0.14658522605895996,0.0
goal_node_1 PB_in_user_aspect,25.0,54.0,0.9549,0.11939435005187989,0.0
goal_node_1 PB_in_user_aspect,25.0,54.0,0.9545600000000001,0.11922602653503418,0.006244087219238281
goal_node_1 PB_in_user_aspect,25.0,54.0,0.9554,0.11855864524841309,0.0067901134490966795
goal_node_1 PB_in_user_aspect,25.0,54.0,0.8582000000000001,0.12237663269042968,0.004599618911743164
goal_node_1 PB_in_user_aspect,25.0,54.0,0.8589,0.11700115203857422,0.004400014877319336
goal_node_1 PB_in_user_aspect,25.0,54.0,0.5602199999999999,0.1332007884979248,0.004399394989013672
goal_node_1 PB_in_user_aspect,25.0,54.0,0.8576,0.1181413173675537,0.004599094390869141
goal_node_1 PB_in_user_aspect,25.0,54.0,0.85598,0.13257455825805664,0.004999637603759766
stage 2,25.0,54.0,0.54964,0.1173936367034912,0.004399347305297852
stage 2,25.0,54.0,0.46814,0.11698899269104004,0.004600000381469726
stage 3,25.0,54.0,0.43587999999999993,0.11645269393920898,0.00419912338256836
