stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 1,Access_Server,0.6972,0.8858,0.8582,0.7996,0.004000663757324219,0
Stage 2,Portable_Execution,0.4386,0.8878,0.3394,0.8614,0.005002021789550781,0
Stage 2,Config_PB,0.506,0.8765,0.8823,0.1706,0.007999181747436523,0
Stage 1,"Remote_access_PB,Bypass_Authentication",0.7084,0.8763,0.8665,0.8206,0.004001617431640625,0
Stage 3,Connect_SMF,0.6966,0.8662,0.8818,0.7806,0.00500178337097168,0
Stage 3,Launch_Agent,0.2737,0.8781,0.8893,0.8709,0.0050008296966552734,0
Stage 2,Query_SMF,0.7085,0.8733,0.8679,0.8243,0.004999876022338867,0
Stage 3,Launch_Agent,0.2742,0.8781,0.8892,0.8709,0.0050008296966552734,0
Stage 2,"Deploy_malware,Config_PB",0.5059,0.8764,0.8771,0.1714,0.0040018558502197266,0
Stage 1,SystemUseNotPB,0.7098,0.8764,0.8673,0.823,0.004001140594482422,0
Stage 2,Deploy_malware,0.5553,0.8766,0.8771,0.3257,0.00503087043762207,0
Stage 3,Exfiltrating_data,0.2174,0.8783,0.889,0.8739,0.00500035285949707,0
