stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
Stage 1,"Authentication,SystemUseNotPB",0.7261,0.8854,0.8777,0.8297,0.004005908966064453,0
Stage 1,Authentication,0.7314,0.8859,0.8811,0.8405,0.003999948501586914,0
Stage 2,Query_SMF,0.7257,0.8818,0.8789,0.8335,0.004004240036010742,0
Stage 3,Create_GTP,0.7316,0.8718,0.8912,0.8492,0.003997325897216797,0
Stage 3,"Connect_NRF,Connect_SMF",0.6989,0.8738,0.8854,0.7483,0.00396728515625,0
Stage 3,Create_GTP,0.7316,0.8718,0.8912,0.8492,0.003999948501586914,0
Stage 2,Portable_Execution,0.4492,0.8873,0.3485,0.8681,0.003998517990112305,0
Stage 3,Connect_NEF,0.736,0.8742,0.8918,0.859,0.005000114440917969,0
Stage 2,Portable_Execution,0.4498,0.8874,0.3495,0.8682,0.003998994827270508,0
Stage 3,"Connect_C2,Rule_based_MPB,Exfiltrating_data",0.2573,0.1952,0.8925,0.871,0.003000020980834961,0
Stage 2,Config_PB,0.5413,0.8857,0.8883,0.202,0.003999948501586914,0
Stage 3,Connect_UE,0.7361,0.8755,0.8916,0.8561,0.004000186920166016,0
Stage 3,goal_node,0.7505,0.666,0.681,0.7472,0.0039980411529541016,1
Stage 3,Connect_NEF,0.7361,0.8742,0.8918,0.8592,0.004002094268798828,1
Stage 3,"Connect_UPF,Create_GTP",0.7247,0.8658,0.8907,0.8382,0.0039997100830078125,1
Stage 1,"Authentication,SystemUseNotPB",0.7264,0.8855,0.878,0.83,0.003999233245849609,1
Stage 2,Config_PB,0.5416,0.8858,0.8884,0.2028,0.003999471664428711,1
Stage 3,"Access_Server,Query_SMF,Connect_NRF,Connect_PCF,Connect_UPF,Connect_C2",0.4624,0.3733,0.8719,0.8733,0.003999948501586914,1
Stage 3,"Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.7254,0.8658,0.8908,0.8403,0.004000663757324219,1
Stage 3,"Connect_NRF,Connect_NEF,Connect_UPF,Connect_C2,Rule_based_MPB",0.3668,0.195,0.8856,0.7485,0.003999948501586914,1
Stage 3,"Portable_Execution,Agent_based_MPB,Launch_Agent",0.2587,0.8874,0.2007,0.8684,0.004000186920166016,1
Stage 2,Portable_Execution,0.4505,0.8874,0.3502,0.8685,0.004007577896118164,1
Stage 2,"Authentication,SystemUseNotPB,Access_Server,Query_SMF,Connect_NRF",0.7324,0.8792,0.872,0.8734,0.003995180130004883,1
Stage 3,Connect_SMF,0.7127,0.8734,0.8879,0.7898,0.004000186920166016,1
Stage 3,"Connect_NEF,Connect_UPF,Connect_C2",0.4643,0.3746,0.8923,0.8679,0.004029750823974609,1
Stage 2,Config_PB,0.5419,0.8859,0.8884,0.2036,0.004000186920166016,1
Stage 3,"Create_GTP,Connect_UE",0.7319,0.8718,0.8913,0.8496,0.0039980411529541016,1
Stage 1,Access_Server,0.717,0.8847,0.8721,0.8105,0.002999544143676758,1
Stage 3,Launch_Agent,0.2571,0.8879,0.893,0.8758,0.003999471664428711,1
Stage 2,Query_SMF,0.7263,0.8819,0.8792,0.834,0.004006862640380859,1
Stage 2,Deploy_malware,0.5851,0.886,0.8849,0.3481,0.003964424133300781,1
Stage 3,"Exfiltrating_data,goal_node",0.2572,0.6663,0.9278,0.8903,0.004031658172607422,2
Stage 3,"Connect_NRF,Connect_SMF",0.6994,0.8737,0.8856,0.7488,0.003994941711425781,2
Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.2583,0.9243,0.0611,0.915,0.004000186920166016,3
Stage 2,"SystemUseNotPB,Access_Server,Query_SMF",0.7155,0.882,0.872,0.8108,0.004029035568237305,3
Stage 2,Connect_NRF,0.702,0.8792,0.8856,0.749,0.003991603851318359,3
Stage 1,"Authentication,SystemUseNotPB",0.7268,0.8856,0.878,0.8305,0.003998756408691406,3
Stage 3,goal_node,0.7508,0.6661,0.6809,0.7475,0.004000425338745117,4
Stage 1,SystemUseNotPB,0.7268,0.8856,0.8781,0.8306,0.004029989242553711,4
Stage 2,Query_SMF,0.7263,0.8819,0.8792,0.8342,0.004029750823974609,4
Stage 2,Deploy_malware,0.5853,0.886,0.8849,0.3489,0.003996133804321289,4
Stage 2,Config_PB,0.5421,0.886,0.8884,0.2044,0.004025697708129883,4
Stage 3,Connect_SMF,0.7129,0.8734,0.8879,0.7901,0.003999948501586914,4
Stage 3,Connect_UE,0.7364,0.8756,0.8917,0.8566,0.004000186920166016,4
Stage 1,"SystemUseNotPB,Access_Server",0.7172,0.8847,0.8721,0.8111,0.003998279571533203,4
Stage 3,"Token_Impersonation,Connect_NRF,Connect_PCF,Connect_UPF,Create_GTP,Connect_UE",0.4767,0.8657,0.8895,0.7491,0.004032135009765625,4
Stage 1,SystemUseNotPB,0.7271,0.8857,0.8782,0.8308,0.004000663757324219,4
Stage 3,"Token_Impersonation,goal_node",0.4802,0.8551,0.8944,0.7476,0.004030942916870117,5
Stage 3,Connect_PCF,0.7273,0.8751,0.8903,0.831,0.003999471664428711,5
Stage 3,"Connect_NRF,Connect_PCF",0.7012,0.8775,0.8857,0.7488,0.003999948501586914,5
Stage 3,Connect_SMF,0.713,0.8735,0.888,0.79,0.004000425338745117,5
Stage 2,Config_PB,0.5424,0.8861,0.8885,0.2052,0.0039997100830078125,5
Stage 2,Portable_Execution,0.4513,0.8877,0.351,0.8688,0.004000186920166016,5
Stage 2,"Access_Server,Query_SMF",0.7159,0.8822,0.8722,0.8112,0.003999948501586914,5
Stage 2,Config_PB,0.5427,0.8861,0.8886,0.206,0.003999948501586914,5
Stage 3,"Rule_based_MPB,Exfiltrating_data,goal_node",0.2572,0.0582,0.9279,0.8889,0.003999471664428711,6
Stage 3,"Query_SMF,Connect_NRF,Connect_NEF,Connect_UPF,Create_GTP,Connect_UE",0.7344,0.8657,0.8796,0.8904,0.003999233245849609,6
