attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
0,Stage 3,"Exfiltrating_data,goal_node",0.2385,0.6546,0.9292,0.8807,0.004999876022338867,1
0,Stage 3,Launch_Agent,0.269,0.8883,0.8923,0.8747,0.0039997100830078125,1
0,Stage 3,Launch_Agent,0.2696,0.8884,0.8922,0.8747,0.003999233245849609,1
1,Stage 1,SystemUseNotPB,0.7291,0.8868,0.8772,0.8277,0.004000186920166016,1
0,Stage 1,"Input_Credentials,Authentication",0.7342,0.8872,0.8803,0.8379,0.003999233245849609,1
0,Stage 1,Bypass_Authentication,0.7287,0.8868,0.877,0.827,0.003998756408691406,1
0,Stage 3,goal_node,0.7544,0.6543,0.6796,0.7331,0.0039997100830078125,2
1,Stage 1,"Remote_access_PB,Bypass_Authentication",0.7287,0.8868,0.877,0.8271,0.003999233245849609,2
0,Stage 3,Connect_NEF,0.7402,0.8786,0.8909,0.8553,0.004999399185180664,2
0,Stage 3,Create_GTP,0.7365,0.8765,0.8905,0.8478,0.004999399185180664,2
0,Stage 3,Create_GTP,0.7365,0.8765,0.8905,0.8478,0.003999233245849609,2
0,Stage 1,Bypass_Authentication,0.7288,0.8869,0.8771,0.8272,0.003999471664428711,2
0,Stage 3,Connect_PCF,0.7325,0.8788,0.8898,0.8334,0.004000186920166016,2
0,Stage 3,"Create_GTP,Connect_UE",0.7366,0.8765,0.8906,0.8479,0.0050008296966552734,2
0,Stage 2,Query_SMF,0.7288,0.8842,0.8781,0.8305,0.004000663757324219,2
0,Stage 3,Launch_Agent,0.27,0.8885,0.8923,0.8749,0.004999876022338867,2
0,Stage 1,Bypass_Authentication,0.7289,0.8869,0.8771,0.8272,0.003999471664428711,2
0,Stage 3,goal_node,0.7545,0.6545,0.6797,0.7333,0.005029916763305664,3
0,Stage 3,Create_GTP,0.7366,0.8766,0.8905,0.848,0.003999948501586914,3
0,Stage 3,goal_node,0.7544,0.6547,0.6798,0.7334,0.004029512405395508,4
0,Stage 3,goal_node,0.7544,0.6548,0.68,0.7335,0.003999948501586914,5
0,Stage 1,Bypass_Authentication,0.7288,0.887,0.8771,0.8273,0.0040283203125,5
0,Stage 3,goal_node,0.7543,0.655,0.6801,0.7336,0.004000663757324219,6
1,Stage 1,SystemUseNotPB,0.729,0.887,0.8773,0.8279,0.003998994827270508,6
0,Stage 1,Bypass_Authentication,0.7288,0.887,0.8772,0.8274,0.0039997100830078125,6
1,Stage 3,Rule_based_MPB,0.3542,0.2,0.8921,0.8753,0.003997325897216797,6
1,Stage 1,SystemUseNotPB,0.7291,0.8871,0.8773,0.828,0.003999948501586914,6
0,Stage 3,"Exfiltrating_data,goal_node",0.2384,0.6551,0.9292,0.881,0.003999471664428711,7
0,Stage 1,Authentication,0.7342,0.8873,0.8804,0.8383,0.004000425338745117,7
0,Stage 3,Launch_Agent,0.2706,0.8886,0.8923,0.875,0.003999471664428711,7
0,Stage 3,Connect_NEF,0.7402,0.8787,0.891,0.8556,0.0039997100830078125,7
1,Stage 1,Remote_access_PB,0.734,0.8873,0.8802,0.8378,0.005000114440917969,7
0,Stage 1,Authentication,0.7343,0.8874,0.8804,0.8384,0.003998994827270508,7
1,Stage 1,SystemUseNotPB,0.7292,0.887,0.8773,0.8282,0.003999948501586914,7
0,Stage 3,"Connect_NRF,Connect_SMF",0.6999,0.8786,0.8848,0.7432,0.004000186920166016,7
0,Stage 3,Connect_C2,0.4459,0.3589,0.892,0.8728,0.004000425338745117,7
0,Stage 3,Exfiltrating_data,0.2382,0.8887,0.8922,0.8765,0.0039975643157958984,7
0,Stage 3,Create_GTP,0.7366,0.8766,0.8906,0.8482,0.004003286361694336,7
0,Stage 3,"Launch_Agent,goal_node",0.2711,0.9236,0.6803,0.9143,0.004003286361694336,8
0,Stage 3,Exfiltrating_data,0.2388,0.8887,0.8921,0.8765,0.00400090217590332,8
1,Stage 2,"Portable_Execution,Agent_based_MPB",0.3964,0.8882,0.2307,0.8678,0.003999471664428711,8
0,Stage 3,goal_node,0.7545,0.6549,0.6801,0.734,0.004999399185180664,9
0,Stage 2,Portable_Execution,0.4609,0.8883,0.3512,0.8679,0.003999471664428711,9
1,Stage 2,"Input_Credentials,Authentication,SystemUseNotPB,Access_Server,Portable_Execution",0.463,0.8863,0.3523,0.8071,0.004000425338745117,9
1,Stage 2,"Deploy_malware,Config_PB,Token_Impersonation",0.4628,0.8868,0.8842,0.198,0.0039997100830078125,9
0,Stage 3,Connect_C2,0.4471,0.3597,0.892,0.8728,0.003999948501586914,9
0,Stage 3,Create_GTP,0.7367,0.8767,0.8906,0.8482,0.004001617431640625,9
0,Stage 3,Connect_NEF,0.7404,0.8787,0.8911,0.8557,0.003999233245849609,9
1,Stage 2,Config_PB,0.5279,0.8872,0.8876,0.1978,0.003970623016357422,9
1,Stage 3,"Config_PB,Token_Impersonation,Connect_NRF,Connect_SMF",0.4612,0.8787,0.8868,0.1269,0.004000425338745117,9
0,Stage 3,Connect_C2,0.4476,0.3606,0.892,0.8728,0.003999948501586914,9
0,Stage 2,Connect_NRF,0.7021,0.8824,0.8848,0.743,0.003999471664428711,9
0,Stage 3,"Launch_Agent,goal_node",0.271,0.9236,0.6803,0.9143,0.004999876022338867,10
0,Stage 3,Connect_C2,0.4481,0.3615,0.892,0.8728,0.00500035285949707,10
0,Stage 3,"Create_GTP,Connect_UE",0.7368,0.8769,0.8906,0.8481,0.003999233245849609,10
1,Stage 1,SystemUseNotPB,0.7294,0.8871,0.8773,0.8283,0.004000425338745117,10
0,Stage 3,Connect_PCF,0.7327,0.879,0.8898,0.8336,0.003991603851318359,10
1,Stage 3,"Connect_C2,Rule_based_MPB",0.3554,0.2008,0.892,0.8729,0.0039997100830078125,10
0,Stage 3,Connect_UE,0.7416,0.8801,0.8911,0.8562,0.004999399185180664,10
0,Stage 3,Create_GTP,0.737,0.877,0.8907,0.8482,0.004000425338745117,10
1,Stage 1,"Logon_PB,Bypass_Authentication,Access_Server",0.7189,0.8865,0.8711,0.8072,0.004000663757324219,10
0,Stage 3,"Exfiltrating_data,goal_node",0.2393,0.6552,0.9292,0.8811,0.003999471664428711,11
0,Stage 3,"Launch_Agent,goal_node",0.2708,0.9236,0.6801,0.9144,0.0039997100830078125,12
0,Stage 3,Connect_C2,0.4488,0.3628,0.892,0.873,0.003999948501586914,12
1,Stage 1,Remote_access_PB,0.7343,0.8874,0.8802,0.8381,0.0039708614349365234,12
1,Stage 1,"Logon_PB,Bypass_Authentication",0.7292,0.8871,0.8771,0.8277,0.0039708614349365234,12
1,Stage 2,Config_PB,0.5284,0.8873,0.8876,0.1984,0.003999233245849609,12
