attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
,,,,,,,,
0,Stage 3,Connect_C2,0.4442,0.3551,0.8878,0.8707,0.003999949,0
,,,,,,,,
0,Stage 2,Portable_Execution,0.4456,0.8893,0.3345,0.8669,0.00399971,0
,,,,,,,,
1,Stage 1,Remote_access_PB,0.7317,0.8883,0.8772,0.8382,0.003999233,0
,,,,,,,,
0,Stage 2,Query_SMF,0.7253,0.8852,0.8744,0.8282,0.003997803,0
,,,,,,,,
0,Stage 3,Connect_UE,0.7371,0.8807,0.8869,0.853,0.004999161,0
,,,,,,,,
1,Stage 1,Remote_access_PB,0.7319,0.8884,0.8773,0.8383,0.003998518,0
,,,,,,,,
1,Stage 3,Rule_based_MPB,0.3651,0.2153,0.888,0.8734,0.003999949,0
,,,,,,,,
1,Stage 3,Rule_based_MPB,0.3656,0.2161,0.888,0.8734,0.004002571,0
,,,,,,,,
0,Stage 2,Portable_Execution,0.4462,0.8894,0.3355,0.867,0.003999949,0
,,,,,,,,
0,Stage 2,Connect_NRF,0.6981,0.8832,0.881,0.7369,0.003998756,0
,,,,,,,,
0,Stage 2,Deploy_malware,0.5712,0.8882,0.8811,0.3227,0.004001379,0
,,,,,,,,
0,Stage 1,Bypass_Authentication,0.7261,0.888,0.8739,0.8263,0.003999949,0
,,,,,,,,
0,Stage 3,Launch_Agent,0.2616,0.8896,0.8882,0.8737,0.004000425,0
,,,,,,,,
0,Stage 3,"Connect_UPF,Create_GTP",0.7262,0.8733,0.8859,0.8334,0.004999876,0
,,,,,,,,
0,Stage 1,Input_Credentials,0.7359,0.8887,0.8795,0.8464,0.00399971,0
,,,,,,,,
1,Stage 3,"Agent_based_MPB,Launch_Agent,goal_node",0.2627,0.9251,0.0601,0.913,0.004000425,1
,,,,,,,,
0,Stage 3,Connect_UE,0.7373,0.8808,0.8869,0.8531,0.004999638,1
,,,,,,,,
0,Stage 1,Input_Credentials,0.7359,0.8888,0.8795,0.8465,0.003999949,1
,,,,,,,,
0,Stage 3,goal_node,0.7507,0.6653,0.6688,0.7377,0.003997564,2
,,,,,,,,
0,Stage 3,"Create_GTP,Connect_UE",0.7327,0.8778,0.8865,0.845,0.004000425,2
,,,,,,,,
0,Stage 3,"Connect_UPF,Create_GTP,Connect_UE",0.7262,0.8734,0.8859,0.8335,0.004030704,2
,,,,,,,,
0,Stage 3,"Token_Impersonation,Connect_NRF,Connect_PCF,Connect_UPF,Create_GTP",0.4639,0.8734,0.8847,0.7371,0.003999472,2
,,,,,,,,
0,Stage 3,Connect_UE,0.7374,0.8809,0.8869,0.8531,0.004001379,2
,,,,,,,,
0,Stage 3,"Create_GTP,Connect_UE",0.7328,0.8778,0.8865,0.8449,0.005000353,2
,,,,,,,,
0,Stage 3,"Connect_PCF,Connect_UPF",0.7274,0.8735,0.8861,0.8365,0.004999876,2
,,,,,,,,
0,Stage 3,"Connect_NEF,Connect_UPF,Create_GTP",0.7373,0.8735,0.8876,0.8652,0.004999399,2
,,,,,,,,
0,Stage 3,goal_node,0.7507,0.6655,0.6689,0.7378,0.00399518,3
,,,,,,,,
0,Stage 2,Query_SMF,0.7256,0.8855,0.8745,0.8285,0.00399828,3
,,,,,,,,
0,Stage 2,"Query_SMF,Connect_NRF",0.742,0.8834,0.8747,0.8849,0.003999949,3
,,,,,,,,
0,Stage 2,Connect_NRF,0.6983,0.8834,0.881,0.7369,0.003999233,3
,,,,,,,,
0,Stage 1,Access_Server,0.7165,0.8875,0.8682,0.8064,0.00302887,3
,,,,,,,,
0,Stage 1,Input_Credentials,0.7361,0.8889,0.8797,0.8466,0.004001617,3
,,,,,,,,
