attacker_capability,stage_name,node_seq,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,prediction_time time,no_of_attacker_reach
1,Stage 1,['Logon_PB'],0.7264,0.8864,0.882,0.8207,0.004999637603759766,0
1,Stage 1,['Logon_PB'],0.7244,0.88,0.8761,0.8454,0.003999471664428711,0
1,Stage 1,['Logon_PB'],0.7257,0.8842,0.8714,0.8425,0.004000425338745117,0
1,Stage 1,['Logon_PB'],0.72,0.8834,0.8799,0.8367,0.004000663757324219,0
1,Stage 1,['Logon_PB'],0.726,0.8869,0.8714,0.8403,0.003999948501586914,0
1,Stage 1,['Logon_PB'],0.7207,0.8812,0.8727,0.8456,0.003998279571533203,0
1,Stage 1,['Logon_PB'],0.7229,0.8865,0.8777,0.8351,0.006000518798828125,0
1,Stage 1,['Logon_PB'],0.7191,0.8819,0.8712,0.8356,0.003999948501586914,0
1,Stage 1,['Logon_PB'],0.729,0.8811,0.8772,0.8464,0.004002571105957031,0
1,Stage 1,['Logon_PB'],0.73,0.8866,0.8726,0.8442,0.003999471664428711,0
1,Stage 1,['Remote_access_PB'],0.7174,0.8807,0.8755,0.8369,0.003999948501586914,0
1,Stage 1,['Remote_access_PB'],0.7247,0.8854,0.879,0.8341,0.0039997100830078125,0
1,Stage 1,['Remote_access_PB'],0.7319,0.8816,0.8795,0.8436,0.004998207092285156,0
1,Stage 1,['Remote_access_PB'],0.7233,0.8791,0.8782,0.8409,0.0049991607666015625,0
1,Stage 1,['Remote_access_PB'],0.7292,0.8867,0.8807,0.828,0.003999471664428711,0
1,Stage 1,['Remote_access_PB'],0.7293,0.8824,0.8796,0.836,0.0039997100830078125,0
1,Stage 1,['Remote_access_PB'],0.7274,0.8874,0.8794,0.8369,0.004999876022338867,0
1,Stage 1,['Remote_access_PB'],0.7241,0.8822,0.878,0.8419,0.004002571105957031,0
1,Stage 1,['Remote_access_PB'],0.7218,0.8806,0.8753,0.8449,0.003999233245849609,0
1,Stage 1,['Remote_access_PB'],0.7266,0.8855,0.878,0.8387,0.004000186920166016,0
1,Stage 1,['SystemUseNotPB'],0.7237,0.8866,0.8725,0.8368,0.003998279571533203,0
1,Stage 1,['SystemUseNotPB'],0.7215,0.8891,0.8647,0.8346,0.0040283203125,0
1,Stage 1,['SystemUseNotPB'],0.7251,0.8869,0.8783,0.8213,0.003999948501586914,0
1,Stage 1,['SystemUseNotPB'],0.7226,0.8842,0.8755,0.8307,0.0039997100830078125,0
