node_name,no_of_node,Net size,Build time,Prediction time,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,posture_value_bypass,posture_value_deploy
,,,,,,,,,,
RemoteAccess and SystemUseNPB,24,53,0.660981178,0.002999306,0.5541,0.0917,0.9223,0.894,0.6829,0.8538
,,,,,,,,,,
RemoteAccess and SystemUseNPB,24,53,0.661994219,0.004000664,0.5541,0.0917,0.9223,0.894,0.6829,0.8538
RemoteAccess,23,50,0.7532145977020264,0.004029989242553711,0.5515,0.0927,0.9212,0.892,0.6204,0.8596
RemoteAccess,23,50,0.5790841579437256,0.003000974655151367,0.5515,0.0927,0.9212,0.892,0.6204,0.8596
SystemUseNot,23,51,0.6285507678985596,0.003000020980834961,0.5531,0.0928,0.9202,0.8908,0.793,0.8542
SystemUseNot,23,51,0.5238170623779297,0.0030002593994140625,0.5531,0.0928,0.9202,0.8908,0.793,0.8542
RemoteAccess,23,50,0.7260808944702148,0.004025936126708984,0.5521,0.0927,0.9216,0.8895,0.623,0.8574
RemoteAccess,23,50,0.6550860404968262,0.002999544143676758,0.5521,0.0927,0.9216,0.8895,0.623,0.8574
LogOn,23,50,0.6071031093597412,0.004000186920166016,0.5503,0.0919,0.9205,0.8869,0.6136,0.856
LogOn,23,50,0.6000025272369385,0.0030057430267333984,0.5503,0.0919,0.9205,0.8869,0.6136,0.856
LogOn and RemoteAccess,24,52,0.5961697101593018,0.002971649169921875,0.5523,0.0878,0.9241,0.8946,0.5403,0.8548
LogOn and RemoteAccess,24,52,0.5910143852233887,0.0029664039611816406,0.5523,0.0878,0.9241,0.8946,0.5403,0.8548
LogOn and SystemUseNot,24,53,0.6360194683074951,0.0030002593994140625,0.5496,0.0888,0.9228,0.8921,0.6877,0.8549
LogOn and SystemUseNot,24,53,0.5941181182861328,0.0029973983764648438,0.5496,0.0888,0.9228,0.8921,0.6877,0.8549
RemoteAccess and SystemUseNPB,24,53,0.7456338405609131,0.0030291080474853516,0.5533,0.0898,0.921,0.8942,0.6693,0.8576
RemoteAccess and SystemUseNPB,24,53,0.5914995670318604,0.0029976367950439453,0.5533,0.0898,0.921,0.8942,0.6693,0.8576
"Logon, RemoteAccess, SystemUseNot",21,46,0.49636149406433105,0.003999471664428711,0.5523,0.1041,0.9092,0.886,NAN,0.858
"Logon, RemoteAccess, SystemUseNot",21,46,0.488797664642334,0.002987384796142578,0.5523,0.1041,0.9092,0.886,NAN,0.858
No,25,55,0.7200031280517578,0.0030012130737304688,0.5499,0.085,0.926,0.89,NAN,0.85
No,25,55,0.6620039939880371,0.0030014514923095703,0.5499,0.085,0.926,0.89,NAN,0.85
