Policy_count,node_s_name,node_name,no_of_node,Net size,Build time,Prediction time,posture_value_goal_node,posture_value_exfiltrate,posture_value_Launch_Agent,posture_value_Token_Impersonation,posture_value_bypass,posture_value_deploy
0,None,None,25,55,0.71897459,0.00400424,0.5538,0.0867,0.9256,0.8959,0.0696,0.8528
,,,,,,,,,,,,
0,None,None,25,55,0.654975653,0.003000021,0.5538,0.0867,0.9256,0.8959,0.0696,0.8528
1,LO,RemoteAccess and SystemUseNPB,24,53,0.660981178,0.002999306,0.5541,0.0917,0.9223,0.894,0.6829,0.8538
,,,,,,,,,,,,
1,LO,RemoteAccess and SystemUseNPB,24,53,0.661994219,0.004000664,0.5541,0.0917,0.9223,0.894,0.6829,0.8538
2,"LO, SUN",RemoteAccess,23,50,0.753214598,0.004029989,0.5515,0.0927,0.9212,0.892,0.6204,0.8596
,,,,,,,,,,,,
2,"LO, SUN",RemoteAccess,23,50,0.579084158,0.003000975,0.5515,0.0927,0.9212,0.892,0.6204,0.8596
,,,,,,,,,,,,
2,"LO, RA",SystemUseNot,23,51,0.628550768,0.003000021,0.5531,0.0928,0.9202,0.8908,0.793,0.8542
,,,,,,,,,,,,
2,"LO, RA",SystemUseNot,23,51,0.523817062,0.003000259,0.5531,0.0928,0.9202,0.8908,0.793,0.8542
,,,,,,,,,,,,
2,"LO, SUN",RemoteAccess,23,50,0.726080894,0.004025936,0.5521,0.0927,0.9216,0.8895,0.623,0.8574
,,,,,,,,,,,,
2,"LO, SUN",RemoteAccess,23,50,0.65508604,0.002999544,0.5521,0.0927,0.9216,0.8895,0.623,0.8574
,,,,,,,,,,,,
2,"RA, SUN",LogOn,23,50,0.607103109,0.004000187,0.5503,0.0919,0.9205,0.8869,0.6136,0.856
,,,,,,,,,,,,
2,"RA, SUN",LogOn,23,50,0.600002527,0.003005743,0.5503,0.0919,0.9205,0.8869,0.6136,0.856
,,,,,,,,,,,,
1,SUN,LogOn and RemoteAccess,24,52,0.59616971,0.002971649,0.5523,0.0878,0.9241,0.8946,0.5403,0.8548
,,,,,,,,,,,,
1,SUN,LogOn and RemoteAccess,24,52,0.591014385,0.002966404,0.5523,0.0878,0.9241,0.8946,0.5403,0.8548
,,,,,,,,,,,,
1,RA,LogOn and SystemUseNot,24,53,0.636019468,0.003000259,0.5496,0.0888,0.9228,0.8921,0.6877,0.8549
,,,,,,,,,,,,
1,RA,LogOn and SystemUseNot,24,53,0.594118118,0.002997398,0.5496,0.0888,0.9228,0.8921,0.6877,0.8549
,,,,,,,,,,,,
1,LO,RemoteAccess and SystemUseNPB,24,53,0.745633841,0.003029108,0.5533,0.0898,0.921,0.8942,0.6693,0.8576
,,,,,,,,,,,,
1,LO,RemoteAccess and SystemUseNPB,24,53,0.591499567,0.002997637,0.5533,0.0898,0.921,0.8942,0.6693,0.8576
,,,,,,,,,,,,
3,"LO, RA, SUN","Logon, RemoteAccess, SystemUseNot",21,46,0.496361494,0.003999472,0.5523,0.1041,0.9092,0.886,NAN,0.858
,,,,,,,,,,,,
3,"LO, RA, SUN","Logon, RemoteAccess, SystemUseNot",21,46,0.488797665,0.002987385,0.5523,0.1041,0.9092,0.886,NAN,0.858
