seed,config,f1,auc_roc
0,All sources,0.8641374211829902,0.9202660578243913
1,All sources,0.833224738913543,0.878204969345005
2,All sources,0.8384684811718894,0.8832038039368847
3,All sources,0.8294662770488738,0.9037030189362881
4,All sources,0.8525555460580245,0.8615838741099469
0,Without 5gnf,0.6896884183758492,0.7462702769490039
1,Without 5gnf,0.7267625313578876,0.7799346178338358
2,Without 5gnf,0.7682772493201465,0.7482881886655199
3,Without 5gnf,0.6902092375993627,0.6973590743853738
4,Without 5gnf,0.7153542292468766,0.7237411780937935
0,Without k8s,0.7716928547964064,0.7977580640188039
1,Without k8s,0.7771841822716723,0.8313196046157529
2,Without k8s,0.7831409713489069,0.8068273032592262
3,Without k8s,0.7592869249434838,0.7765063411059129
4,Without k8s,0.7702738418185334,0.8089243489836336
0,Without syslog,0.8353585982715978,0.8326054904294576
1,Without syslog,0.8196547902204612,0.8200140880292169
2,Without syslog,0.7763011246716596,0.8106976647553525
3,Without syslog,0.7854954787092849,0.8725693946487032
4,Without syslog,0.7835722664155124,0.8467697840747268
0,Without netflow,0.7119414564382595,0.7786314602574849
1,Without netflow,0.7376990193221172,0.7568672420468382
2,Without netflow,0.7291847494772913,0.7469042460914121
3,Without netflow,0.7389214440296415,0.7509003303931844
4,Without netflow,0.7054878847246551,0.7344412485136076
