seed,method,f1,auc_roc,auc_pr
0,MultiSource (Ours),0.8725467515212348,0.8996953214893324,0.853476878575398
1,MultiSource (Ours),0.8543235407096792,0.8635020838326004,0.8562365251205066
2,MultiSource (Ours),0.8516722501998208,0.8956433977925251,0.8498934556236196
3,MultiSource (Ours),0.8664307704509028,0.9112543163563965,0.8641085865533693
4,MultiSource (Ours),0.864035128167984,0.8920631069515573,0.8610016878618283
0,Single: 5gnf,0.6355688393291431,0.7163298852334661,0.6780542680317302
1,Single: 5gnf,0.6918633661786119,0.7414670980495048,0.68771693105113
2,Single: 5gnf,0.6347388558061047,0.6877517705603317,0.7038228590617772
3,Single: 5gnf,0.6552549845029428,0.7196028680678321,0.6451082802605161
4,Single: 5gnf,0.6685487696311636,0.7190884067642872,0.6577913863117104
0,Single: k8s,0.570569503851001,0.6452743440871304,0.6110493359671249
1,Single: k8s,0.5741565762839289,0.6379302346386808,0.6049604524358623
2,Single: k8s,0.5830512502420493,0.6694298394598631,0.5586668311813741
3,Single: k8s,0.5752629947098062,0.643530248427449,0.615919879793742
4,Single: k8s,0.5725617083735741,0.6048655643504284,0.6165599096742822
0,Single: syslog,0.5545470042832837,0.5593227719016772,0.5772765602739637
1,Single: syslog,0.5134294955375421,0.5887735130834231,0.538942029785921
2,Single: syslog,0.5133108765528824,0.6160008918939791,0.5716531048397541
3,Single: syslog,0.5546462321081989,0.6135482377795538,0.5687817335785915
4,Single: syslog,0.5548786905233558,0.598779863174766,0.5765597635359411
0,Single: netflow,0.6040685809293058,0.6813309163171841,0.6360515235339945
1,Single: netflow,0.629791678691897,0.6564339275377027,0.6656470068483532
2,Single: netflow,0.6061869788498968,0.7034249418693465,0.6650173797746253
3,Single: netflow,0.646412923152936,0.694615493822773,0.6185591948869352
4,Single: netflow,0.608660936542036,0.6565598561481037,0.6396344031526745
