seed,ablated,f1,auc_roc
0,none (baseline),0.0639803137496155,0.4885112943437223
0,r1,0.0639803137496155,0.4869596958031638
0,r2,0.06311787072243347,0.4915987917532765
0,r3,0.0639803137496155,0.4885112943437223
0,r4,0.06457621856566284,0.4907453576071188
0,r5,0.04384485666104553,0.4732936026978315
0,r6,0.06311787072243347,0.4984184150867564
1,none (baseline),0.061557402277623886,0.5043760742624379
1,r1,0.061557402277623886,0.5009465282192554
1,r2,0.06468797564687975,0.5126061018106473
1,r3,0.061557402277623886,0.5043760742624379
1,r4,0.06088847468157813,0.5032984271620635
1,r5,0.03508771929824561,0.49539023686750955
1,r6,0.06468797564687975,0.507863159567705
2,none (baseline),0.06441902468392535,0.5154829444645114
2,r1,0.06441902468392535,0.5135713930108478
2,r2,0.05893323386795972,0.5109378293609642
2,r3,0.06441902468392535,0.5154829444645114
2,r4,0.0637910085054678,0.5138610982529768
2,r5,0.06133979015334948,0.5204954542228644
2,r6,0.05891126025354213,0.5027094325272783
